task_id,title,description,status,priority,created_at,updated_at,due_date,assigned_user_id,estimated_duration_minutes,project_id,reminder_sent_at
175,Draft Initial Privacy Policy,Write first version of the application's privacy policy,Todo,Low,2024-02-09T10:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,91,180,14,
176,Set up Staging Environment,Create a pre-production environment for testing,Todo,High,2024-02-12T11:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,86,240,13,
177,Define API Rate Limiting Strategy,Plan how to prevent abuse of the API,Todo,Medium,2024-02-13T14:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,101,120,14,
178,Implement Basic Task Search,Add a simple text search functionality for tasks,Todo,Medium,2024-02-14T10:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,20,180,2,
179,Review Performance Test Results,Analyze data from performance testing runs,Todo,Medium,2024-02-22T10:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,106,120,15,
180,Identify Areas for Code Optimization,"Based on profiling/testing, find slow code sections",Todo,Medium,2024-02-23T11:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,96,180,15,
181,Update Project Documentation - Sprint 2,Add documentation for features completed in Sprint 2,Done,Low,2024-02-05T10:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,10,120,12,
182,Team Retrospective - Sprint 2,Meeting to discuss what went well/badly in Sprint 2,Done,Medium,2024-02-05T16:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,4,90,1,
183,Address Action Items from Retrospective,Implement changes based on retro feedback,In Progress,Medium,2024-02-06T09:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,4,180,1,
184,Setup CI/CD Pipeline (Basic),"Configure automated testing and deployment (e.g., GitHub Actions)",Todo,High,2024-02-15T11:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,86,300,13,
185,Test Task Dependency Logic,Verify that dependent tasks cannot be started early,Todo,Medium,2024-02-16T10:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,55,120,7,
186,Develop UI for Task Dependencies,Frontend work to display and manage dependencies,Todo,High,2024-02-19T09:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,33,240,7,UI Team Task
187,Refine Workload Heatmap Algorithm,"Improve calculation accuracy, consider time off",Todo,Medium,2024-02-08T14:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,90,180,10,
188,Create Sample Data Generation Script,Script to populate DB/CSVs with realistic test data,Done,Low,2024-01-20T10:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,70,120,1,
189,Add User Profile Endpoint,API endpoint to get/update current user's profile,Todo,Medium,2024-02-09T14:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,12,120,3,
190,Plan Phase 2 Features,High-level planning for the next major phase of development,Todo,Medium,2024-02-26T10:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,4,240,1,
191,Security Scan with Static Analysis Tool,Run tools like Bandit to find potential security issues,Todo,Medium,2024-02-20T11:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,101,90,14,
192,Write User Guide for Basic Features,Document how to use core task management functions,Todo,Low,2024-02-19T14:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,10,240,12,
193,Investigate Alternative Data Storage (DB),"Explore options like PostgreSQL, SQLite for future",Todo,Low,2024-02-21T10:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,13,180,14,
194,Code Review: Authentication Logic,Review implementation of basic auth,Done,Medium,2024-01-29T11:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,25,60,3,
195,Code Review: Task API Filtering,Review implementation of task list filtering,Todo,Medium,2024-02-14T15:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,16,90,2,
196,Update API Documentation with New Endpoints,"Add docs for heatmap, user profile, etc.",Todo,Low,2024-02-22T14:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,10,120,12,
197,Demo Internal Features to Team,Showcase recently completed features to the team,Done,Low,2024-02-08T16:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,4,60,1,
198,Gather Requirements for Reporting Module,Talk to stakeholders about desired reporting features,Todo,Medium,2024-02-27T10:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,13,180,12,
199,Resolve Merge Conflicts - Feature Branch X,Fix conflicts after merging main into feature branch,In Progress,Urgent,2024-02-07T10:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,8,60,1,
200,Prepare Q1 Budget Review Materials,Collect financial data for the quarterly review,In Progress,High,2024-03-01T09:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,39,240,1,Admin Task
201,Client Demo Prep - Phase 2 Features,Prepare slides for upcoming features,Todo,High,2024-03-04T10:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,18,180,15,
202,Fix Bug #1025 - Incorrect Timezone Calculation,Investigate and resolve issue with timezone handling in reminders,Todo,High,2024-02-28T10:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,30,120,4,
203,Mentor Junior Developer - Kavita,Provide guidance on API testing practices,Done,Medium,2024-02-15T14:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,12,120,6,
204,Update Server OS Patches,Apply latest security patches to staging server,Todo,Medium,2024-03-06T11:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,86,90,13,
205,Explore GraphQL as API Alternative,Research feasibility of using GraphQL instead of REST,Todo,Low,2024-03-07T14:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,20,180,2,
206,Write Feature Proposal: Task Tags/Labels,Document requirements for adding tags to tasks,Todo,Medium,2024-03-08T10:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,19,120,1,
207,Analyze API Performance Metrics,Review logs and metrics from monitoring tools,Todo,Medium,2024-03-11T15:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,96,120,15,
208,Code Review: Task Search Implementation,Review pull request for basic search feature,Todo,Medium,2024-03-01T11:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,20,60,2,
209,Plan Sprint Goals - Sprint 4,Team meeting to decide on goals for the next sprint,Todo,High,2024-03-12T10:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,4,120,1,
210,Investigate AI Model Drift,Check if deadline prediction accuracy has degraded over time,Todo,Medium,2024-03-13T11:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,75,180,8,
211,Create UI Mockups for Recurring Tasks,Visual design for setting up recurring tasks,Todo,Low,2024-02-29T14:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,33,180,1,
212,Refine User Onboarding Process,Improve initial experience for new users,Todo,Low,2024-03-14T10:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,13,120,1,
213,Implement Task Archiving Feature,Add functionality to archive completed/old tasks,Todo,Medium,2024-03-15T09:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,16,240,2,
214,Implement API Endpoint for Archiving,API call to mark a task as archived,Todo,Medium,2024-03-18T10:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,16,120,2,
215,Write Integration Test for Archiving,Test the end-to-end flow of archiving a task,Todo,Low,2024-03-19T11:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,55,90,6,
216,Research Real-time Collaboration Features,"Investigate options for showing live updates (e.g., WebSockets)",Todo,Low,2024-03-20T14:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,20,180,1,
217,Client Call: Review Phase 2 Mockups,Get client feedback on new feature designs,Todo,High,2024-03-18T15:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,18,90,15,
218,Update CI/CD Pipeline for Staging Deploy,Configure pipeline to deploy automatically to staging,Todo,Medium,2024-03-05T10:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,86,180,13,
219,Prepare Year-End Performance Reviews,Gather feedback and data for team member reviews,Todo,Medium,2024-03-21T09:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,4,360,1,Admin Task
220,Fix Documentation Formatting Issues,Clean up inconsistencies in API docs,Todo,Low,2024-03-11T10:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,10,60,12,
221,Add Example Usage to API Documentation,Include code snippets showing how to call endpoints,Todo,Low,2024-03-12T14:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,10,120,12,
222,Optimize Database/CSV Read Queries,Improve efficiency of fetching large lists of tasks,Todo,High,2024-03-13T15:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,96,240,15,
223,Setup Alerting for Production Errors,Configure monitoring to notify team of critical errors,Todo,High,2024-03-14T11:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,86,120,13,
224,Evaluate Third-Party Notification Services,"Compare SendGrid, Twilio, etc. for sending reminders",Todo,Low,2024-02-26T15:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,30,90,4,
225,Draft Terms of Service Document,Write initial ToS for application usage,Todo,Low,2024-03-01T14:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,91,180,14,
226,Implement User Password Reset Flow,Add functionality for users to reset forgotten passwords,Todo,High,2024-03-04T11:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,25,240,3,Requires email service
227,Conduct Security Review of Authentication,Deep dive into security of login and password reset,Todo,High,2024-03-19T10:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,101,180,14,
228,Refactor Time Tracking Logic for Accuracy,Improve how duration is calculated for timers,Todo,Medium,2024-03-05T15:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,35,120,5,
229,Test Application on Different Browsers,"Ensure compatibility with Chrome, Firefox, Safari, Edge",Todo,Low,2024-03-22T11:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,50,180,6,Requires UI
230,Create Presentation for Project Sponsor Update,Summarize progress and plans for key stakeholder,Todo,Medium,2024-03-25T10:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,13,120,1,
231,Finalize API Documentation for v1.0,Complete all pending documentation tasks for initial release,Todo,Medium,2024-03-26T14:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,10,180,12,
232,Plan Production Deployment Go-Live,Coordinate steps and timing for launching v1.0,Todo,High,2024-03-27T10:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,4,240,13,
233,Write Release Notes for v1.0,Summarize new features and fixes for the first release,Todo,Low,2024-03-28T11:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,15,90,12,
234,Perform Final Pre-Deployment Testing,Execute test plan on staging environment before go-live,Todo,High,2024-04-01T09:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,50,360,6,
235,Backup Production Data (Pre-Deployment),Ensure data backup is taken before deploying v1.0,Todo,Urgent,2024-04-05T08:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,91,60,14,
236,Deploy v1.0 to Production,Execute the production deployment plan,Todo,Urgent,2024-04-05T11:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,86,240,13,
237,Post-Deployment Monitoring,Closely monitor system health and logs after v1.0 launch,Todo,High,2024-04-05T17:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,96,480,15,
238,Address any Urgent Post-Launch Bugs,Quickly fix critical issues found after deployment,Todo,Urgent,2024-04-06T09:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,22,,3,
239,Communicate v1.0 Launch to Stakeholders,Inform users and stakeholders that v1.0 is live,Todo,Medium,2024-04-08T10:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,13,60,12,
240,Gather Initial User Feedback on v1.0,Collect feedback from early adopters,Todo,Medium,2024-04-09T09:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,27,240,1,
241,Plan Patch Release 1.0.1,Schedule fixes for non-critical bugs found post-launch,Todo,Medium,2024-04-10T11:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,4,120,1,
242,Review Auto-Scheduling Performance in Prod,Analyze how well auto-scheduling works with real data,Todo,Medium,2024-04-11T10:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,65,180,7,
243,Review AI Prediction Accuracy in Prod,Check deadline prediction performance against actuals,Todo,Medium,2024-04-12T10:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,75,180,8,
244,Refine Pomodoro Timer Based on Feedback,Make adjustments to Pomodoro feature if needed,Todo,Low,2024-04-15T14:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,85,120,9,
245,Update Workload Heatmap Display Thresholds,Adjust sensitivity of heatmap based on real usage,Todo,Low,2024-04-16T11:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,90,60,10,
246,Test Auto-Reprioritization Edge Cases,Check how reprioritization handles complex scenarios,Todo,Medium,2024-04-17T10:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,105,240,11,
247,Finalize Q1 Report,Compile all data and write the final quarterly report,In Progress,High,2024-03-20T10:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,13,480,12,
248,Prepare Presentation for Board Meeting,Create slides for the upcoming board meeting,In Progress,High,2024-03-22T09:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,20,300,12,
249,Plan Team Offsite Event,Organize logistics for the team building offsite,In Progress,Medium,2024-03-15T11:00:00Z,2025-01-15T14:05:00Z,2025-04-16T18:00:00Z,4,240,1,
250,Celebrate v1.0 Launch!,Team celebration for successful launch,Done,Low,2024-04-08T17:00:00Z,2025-01-16T16:30:00Z,2025-04-17T18:00:00Z,4,60,1,
